"header","title","titleUrl","time","products","activityControls","description","details","subtitles"
"YouTube","Searched for michigan fight song","https://www.youtube.com/results?search_query\u003dmichigan+fight+song","2023-06-05T22:27:39.938Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for michigan","https://www.youtube.com/results?search_query\u003dmichigan","2023-06-05T22:27:35.005Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for victory for msu","https://www.youtube.com/results?search_query\u003dvictory+for+msu","2023-06-05T22:22:27.182Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for i am a tar heel born","https://www.youtube.com/results?search_query\u003di+am+a+tar+heel+born","2023-06-05T22:19:30.200Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for i am a tar heel","https://www.youtube.com/results?search_query\u003di+am+a+tar+heel","2023-06-05T22:19:24.552Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for The Red \u0026 White Song","https://www.youtube.com/results?search_query\u003dThe+Red+%26+White+Song","2023-06-05T22:18:28.392Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for On, Wisconsin","https://www.youtube.com/results?search_query\u003dOn,+Wisconsin","2023-06-05T06:25:34.826Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Hail West Virginia","https://www.youtube.com/results?search_query\u003dHail+West+Virginia","2023-06-05T06:24:57.424Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for The Fight Song wasshington state","https://www.youtube.com/results?search_query\u003dThe+Fight+Song+wasshington+state","2023-06-05T06:23:53.102Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for The Fight Song wazzi","https://www.youtube.com/results?search_query\u003dThe+Fight+Song+wazzi","2023-06-05T06:23:45.199Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for O Here\u0027s To Wake Forest","https://www.youtube.com/results?search_query\u003dO+Here%27s+To+Wake+Forest","2023-06-05T06:21:21.169Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Tech Triumph","https://www.youtube.com/results?search_query\u003dTech+Triumph","2023-06-05T06:20:29.910Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for The Good Old Song","https://www.youtube.com/results?search_query\u003dThe+Good+Old+Song","2023-06-05T06:19:31.320Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for dynamite vanderbilt fight song","https://www.youtube.com/results?search_query\u003ddynamite+vanderbilt+fight+song","2023-06-05T06:18:43.317Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Dynamite","https://www.youtube.com/results?search_query\u003dDynamite","2023-06-05T06:18:33.114Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Utah Man","https://www.youtube.com/results?search_query\u003dUtah+Man","2023-06-05T06:17:43.100Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Sons of Westwood","https://www.youtube.com/results?search_query\u003dSons+of+Westwood","2023-06-05T06:16:28.946Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Fight, Raiders, Fight","https://www.youtube.com/results?search_query\u003dFight,+Raiders,+Fight","2023-06-05T06:14:56.600Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Down the Field","https://www.youtube.com/results?search_query\u003dDown+the+Field","2023-06-05T06:02:46.376Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Come Join the Band","https://www.youtube.com/results?search_query\u003dCome+Join+the+Band","2023-06-05T05:58:32.353Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for The Bells Must Ring","https://www.youtube.com/results?search_query\u003dThe+Bells+Must+Ring","2023-06-05T05:56:51.128Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Fight On, State","https://www.youtube.com/results?search_query\u003dFight+On,+State","2023-06-05T05:54:40.945Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
"YouTube","Searched for Hail to Old OSU","https://www.youtube.com/results?search_query\u003dHail+to+Old+OSU","2023-06-05T05:52:03.079Z","[\"YouTube\"]","[\"YouTube search history\"]",,,
